Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Create python SDK tutorial framework,FABP-30,27408,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,05/Feb/18 5:30 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,08/Feb/18 10:41 AM,,,,,0,SDK-Python,,"Create a separate doc for tutorial and finish the framework.

Need to input steps and code after implementation.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,FABP-154,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyvxb:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"05/Feb/18 6:00 PM;baohua;https://gerrit.hyperledger.org/r/#/c/17517/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update copyright information,FABP-31,18135,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,tonyyang132,tonyyang132,tonyyang132,16/Jun/17 1:49 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,16/Jun/17 3:22 PM,,,,,0,,,"We have a few source files that were created with esse.io copyright headers. As the entity is no longer operating and the successor is arxanfintech.com, relevant headers need to be updated.",,baohua,tonyyang132,,,,,3600,3600,,0%,3600,3600,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy3f3:",,,,,,,,,,,,,,,,,,,,,,baohua,tonyyang132,,,,,,,,"16/Jun/17 2:31 PM;baohua;https://gerrit.hyperledger.org/r/#/c/10699/;;;","16/Jun/17 3:21 PM;tonyyang132;Code change has been merged.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Use fabric-sdk-py to generate new_channel transaction,FABP-32,29371,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,Sushilpaneru,baohua,baohua,13/Apr/18 2:40 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,03/May/18 3:29 PM,,v1.3.0,,,0,SDK-Python,,"Currently, the sdk-py uses configtxgen to generate the new channel transaction file, then utilize it to send proposal to orderer to create new channels.

We should allow users to adopt sdk-py to finish the entire process, without using the configtxgen.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz5s7:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"03/May/18 3:29 PM;baohua;https://gerrit.hyperledger.org/r/#/c/21257/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable rocketchat notification with patchset for fabric-sdk-py,FABP-33,16225,,Task,To Do,FABP,Fabric SDK Python,software,baohua,,,Medium,,jwagantall,baohua,baohua,03/May/17 3:05 PM,27/Jun/19 9:47 AM,28/Oct/23 2:25 AM,,,v1.0.0,,,0,,,"once there's new submission, a notification will be sent in the corresponding channel",,baohua,GuillaumeCisco,jwagantall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxsn3:",,,,,,,,,,,,,,,,,,,,,,baohua,GuillaumeCisco,jwagantall,,,,,,,"09/May/17 2:43 AM;jwagantall;Dear Baohua, 

do you want this notification to be sent when a new change is posted, or when a new change is merged into fabric-sdk-py?

thank you!

Jess;;;","09/May/17 10:26 AM;baohua;When new change is posted and merged.

Thanks!;;;","15/Jun/17 11:35 AM;baohua;As ry told, this feature is in plan for new ci release.;;;","05/Feb/18 6:03 PM;baohua;Any progress? [~jwagantall];;;","26/Jun/19 9:54 PM;GuillaumeCisco;Any progress [~jwagantall]?;;;","27/Jun/19 9:47 AM;baohua;[~Silona], it is somehow a pity that we cannot have this feature for quite a while.

As you may know, posting notifications automatically into rocketchat will make the tool a unique access point to watch status and communicate with each other, which certainly will improve the involvement of the rocketchat a lot.;;;",,,,,,,,,,,,,,,,,,,,,,,
Support channel creation with new context,FABP-34,17396,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,baohua,baohua,02/Jun/17 12:15 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,15/Nov/17 2:16 PM,,,,,0,,,"Support channel creation with new context

 

Refine chain-->channel?",,baohua,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxybz:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use unique log module,FABP-35,12983,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,12/Oct/16 8:14 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,30/Nov/16 10:51 AM,,v0.6,,,0,,,,,baohua,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9qv:",,,,,,Sprint 2,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refine doc,FABP-36,12981,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,ckeyer,baohua,baohua,12/Oct/16 11:55 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,17/Oct/16 4:40 PM,,v0.6,,,0,SDK-Python,,"Refine the existing doc, to make it more clear and useful.

Update the contribution doc, adding how to find free tasks, assign to self, and mark it as in-processing.

[Code-Review|https://gerrit.hyperledger.org/r/1699]",,baohua,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxcxz:",,,,,,Sprint 2,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auto clean up coverage temp files and testing process refinement,FABP-37,16078,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,camelbeck,lafenicecc,lafenicecc,28/Apr/17 12:19 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,19/May/17 2:11 PM,,,,,0,,,"Coverage testing tmporary files when failed need be removed in ""make clean"";

Existing testing process can be refined further, eg, no need to show the combined coverage testing result to developers, no need to erase previous coverage result file "".coverage"" manually because pytest-cov will do it, and Makefile can be refined too.",,baohua,lafenicecc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxoh3:",,,,,,Sprint 4,,,,,,,,,,,,,,,,baohua,lafenicecc,,,,,,,,"13/May/17 11:28 PM;baohua;https://gerrit.hyperledger.org/r/#/c/9215/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed or correct several invalid URLs in GitHub documents,FABP-38,28830,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Low,Done,sebastianz29,sebastianz29,sebastianz29,26/Mar/18 9:55 AM,18/Apr/19 10:13 PM,28/Oct/23 2:25 AM,18/Apr/19 10:13 PM,,,,,0,,,There are several invalid URLs in GitHub documents.,,sebastianz29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz2xr:",,,,,,,,,,,,,,,,,,,,,,sebastianz29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add test for peer class,FABP-39,12931,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,qiang0723,grapebaba,grapebaba,08/Oct/16 5:47 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,19/Apr/17 11:55 AM,,v0.6,,,0,,,,,grapebaba,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9pz:",,,,,,Sprint 2,Sprint 2,Sprint 4,,3.0,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick booted fabric 1.0 test env,FABP-40,13726,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,lafenicecc,baohua,baohua,09/Dec/16 12:24 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,22/Dec/16 3:08 PM,,,,,0,,,Can ref Node.js SDK,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxfnj:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Write a network start tutorial for python-sdk,FABP-41,27541,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,vieiramanoel,vieiramanoel,vieiramanoel,09/Feb/18 2:09 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,15/Feb/18 4:01 PM,,,,,0,SDK-Python,,"Write a byfn script putting network elements up for use python-sdk (generate certs, start orderer and peers, channel creation and join must be done in a python script using sdk)
 
Where should these files (cryptoconfig, configtx and docker-compose should be? In a folder inside python-sdk repository?)",,baohua,vieiramanoel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzywmv:",,,,,,,,,,,,,,,,,,,,,,baohua,vieiramanoel,,,,,,,,"09/Feb/18 10:10 AM;baohua;[~vieiramanoel] we are using this for the integration testing, you can update the materials there: [https://github.com/hyperledger/fabric-sdk-py/tree/master/test/fixtures.]

 

Besides, the doc can be put under docs/, as it is today.;;;","09/Feb/18 11:11 AM;vieiramanoel;I think 2 orgs must be enough, right? Or should we have more orgs?;;;","09/Feb/18 12:33 PM;baohua;As a sample, simple (2org-4peer) is good enough :);;;","15/Feb/18 11:37 AM;vieiramanoel;done in https://gerrit.hyperledger.org/r/#/c/17933/;;;","15/Feb/18 12:55 PM;baohua;Thanks for the patchset!;;;",,,,,,,,,,,,,,,,,,,,,,,,
Add network profile for python sdk,FABP-42,27410,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,05/Feb/18 5:44 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,08/Feb/18 10:41 AM,,,,,0,SDK-Python,,"SDK can load all network information from the profile, and check the resources in the network.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyvxj:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"05/Feb/18 6:00 PM;baohua;https://gerrit.hyperledger.org/r/#/c/17519/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
grpicio update issue,FABP-43,30468,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,22/May/18 3:47 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,19/Jun/18 7:13 AM,,v1.2.0,,,0,,,"Seems grpcio upgrade, remove some util protobuf, need install protobuf instead",,baohua,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzbin:",,,,,,,,,,,,,,,,,,,,,,baohua,grapebaba,,,,,,,,"22/May/18 5:40 PM;baohua;https://gerrit.hyperledger.org/r/#/c/22111/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code docstring style guideline,FABP-44,13786,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,genggjh,genggjh,genggjh,13/Dec/16 10:41 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,19/Dec/16 9:49 PM,,v1.0.0,,,0,SDK-Python,,We need flow a same docstring style guideline when develop our python sdk,,genggjh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxfv3:",,,,,,,,,,,,,,,,,,,,,,genggjh,,,,,,,,,"18/Dec/16 2:42 PM;genggjh;ready for review: https://gerrit.hyperledger.org/r/#/c/3387/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable fabric 1.0.0-rc1 image for the SDK testing,FABP-45,18643,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,baohua,baohua,24/Jun/17 9:56 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,27/Jun/17 7:03 AM,,,,,0,SDK-Python,,"Currently we are using 1.0.0-beta image in the test cases.

Need to update it to use the 1.0.0-rc1 image.",,baohua,david_dornseifer,qiang0723,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5nb:",,,,,,,,,,,,,,,,,,,,,,baohua,david_dornseifer,qiang0723,,,,,,,"26/Jun/17 11:09 AM;david_dornseifer;https://gerrit.hyperledger.org/r/11137;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add docker-compose to provide sample deployment and test,FABP-46,12982,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,lafenicecc,lafenicecc,lafenicecc,12/Oct/16 12:57 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,21/Oct/16 12:02 PM,,,,,0,,,,,lafenicecc,,,,,,86400,86400,,0%,86400,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxcy7:",,,,,,Sprint 2,,,,,,,,,,,,,,,,lafenicecc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade docker image version and compose files,FABP-47,18024,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,qiang0723,lafenicecc,lafenicecc,15/Jun/17 11:36 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,16/Jun/17 6:23 PM,,,,,0,,,,,baohua,lafenicecc,qiang0723,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy2wn:",,,,,,Sprint 4,,,,,,,,,,,,,,,,baohua,lafenicecc,qiang0723,,,,,,,"15/Jun/17 12:04 PM;qiang0723;# Update images tag to 0.9.6 in check.sh
 # As have sync configtx.yaml at #4359, so this time will update ""channel.tx"" ""orderer.genesis.block"" ""Or1MSPanchors.tx"" and ""Org2MSPanchors.tx""
 # Whether support TLS this time? [~baohua] ;;;","15/Jun/17 12:17 PM;baohua;Suggest we disable TLS for this case.

Thanks!;;;","15/Jun/17 7:56 PM;qiang0723;https://gerrit.hyperledger.org/r/#/c/10631/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Create Testing Infrastructure for Eventhub,FABP-48,24903,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,david_dornseifer,david_dornseifer,11/Dec/17 5:44 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,11/Dec/17 11:39 AM,,,,,0,,,Block generation is necessary to test the fabric-sdk-py eventhub component.,,david_dornseifer,,,,,,,,,,,,,,,,,,FABP-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyqjj:",,,,,,,,,,,,,,,,,,,,,,david_dornseifer,,,,,,,,,"11/Dec/17 5:49 AM;david_dornseifer;https://gerrit.hyperledger.org/r/#/c/16083/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Version to 1.0 Final,FABP-49,19203,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,david_dornseifer,david_dornseifer,12/Jul/17 7:51 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,12/Jul/17 10:50 AM,,,,,0,,,The version of the HL backend should be updated to 1.0 final.,,david_dornseifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy83b:",,,,,,,,,,,,,,,,,,,,,,david_dornseifer,,,,,,,,,"12/Jul/17 7:56 AM;david_dornseifer;https://gerrit.hyperledger.org/r/11575;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start the tutorial of using fabric-sdk-py,FABP-50,27376,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,02/Feb/18 11:34 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,05/Feb/18 1:34 PM,,,,,0,SDK-Python,,Start to create steps on using fabric-sdk-py.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyvsn:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"02/Feb/18 11:38 PM;baohua;https://gerrit.hyperledger.org/r/#/c/17475/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update changelog script so that all git tags are listed automatically,FABP-51,25106,,Task,To Do,FABP,Fabric SDK Python,software,baohua,,,Medium,,david_dornseifer,david_dornseifer,david_dornseifer,12/Dec/17 12:56 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,,,Future,,,0,python-SDK,,,,david_dornseifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyqmf:",,,,,,,,,,,,,,,,,,,,,,david_dornseifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update proto in python SDK,FABP-52,14782,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,14/Feb/17 12:12 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,17/Feb/17 6:23 PM,,v1.0.0-alpha1,,,0,,,Update proto in python SDK,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxkxr:",,,,,,,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
containerize the sdk,FABP-53,12952,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Highest,Done,lafenicecc,baohua,baohua,11/Oct/16 10:59 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,12/Oct/16 5:36 PM,,v0.6,,,0,SDK-Python,,Support quick start an sdk env with docker,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxcv3:",,,,,,Sprint 2,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enable coverage in testing cases,FABP-54,15517,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,camelbeck,baohua,baohua,30/Mar/17 11:44 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,05/Apr/17 5:56 PM,,v1.1.1,,,0,SDK-Python,,"Enable coverage report in the testing results.

pytest-cov and coverage packages are used to achieve this goal.

Coverage.py is a tool for measuring code coverage of Python programs. It monitors the program, noting which parts of the code have been executed, then analyzes the source to identify code that could have been executed but was not.
Pytest-cov is the plugin produces coverage reports. All features offered by the coverage package should be available, either through pytest-cov or through coverage’s config file. And it depends on coverage >= 3.7.1.

Code coverage measuring can be divided into three phases: execution, analysis, report. For pytest-cov, these three phases are completed in one time and they are done along with the pytest unit test work. For coverage, execution is done with command ""run"", analysis and report are done in ""report"" command. Besides, coverage can combine results from different parts and output a uniform reporting.

As our project will be tested in several different virtualenvs, I would like the coverage report is based on the combined result from these different environments. Thus, I will use coverage to implement analysis and report work.

For the reason that pytest-cov is done along with pytest, I will use it to implement the execution work.",,baohua,camelbeck,,,,,288000,288000,,0%,288000,288000,,,,,,,,,,,,,,,,,,,,"03/Apr/17 10:29 AM;camelbeck;20170403_console.log.gz;https://jira.hyperledger.org/secure/attachment/10643/20170403_console.log.gz","24/Apr/17 12:20 PM;camelbeck;screenshot-1.png;https://jira.hyperledger.org/secure/attachment/10678/screenshot-1.png",,,,,,,,,,,,,,,,,,"1|hzxoxz:",,,,,,Sprint 4,,,,100.0,,,,,,,,,,,,baohua,camelbeck,,,,,,,,"03/Apr/17 10:29 AM;camelbeck;During the process of testing (run ""make unittest""), it is often (int most cases) stuck in test/unit/keyvaluestore_test.py execution. Even before enable code coverage. Thus after I commit the change set, the jobbuilder thought it is an failure when this situation happens. I will try to attach this console log from jobbuilder.

I wonder that whether this situation happens before. Anyway, I think it is a problem, and I will try to find the reason of it and fix it if it is a defect.

Any suggestions for this issue, please comment here.;;;","07/Apr/17 12:22 PM;baohua;Thanks for the detailed explanation.

Let's record the stuck problem, and maybe can raise a separate bug in jira tasks.;;;","24/Apr/17 12:32 PM;camelbeck;Issue: Invocation Error after enabling coverage test.

Detailed description: 
Someone encounters following error when run command ""make unittest"" after enabling coverage test. The prompted error message tells that py.test command cannot find --cov flag.
 !screenshot-1.png|thumbnail! 

Cause explained:
Firstly there is nothing wrong with our SDK  and our testing mechanism. It is related with the implementation of tox. When executed, tox will first try to find configure file under the virtualenv folder by default. If it already exists, tox will not create the virtualenv any more no matter whether all the dependencies have already existed. And our testing process has used the default setting of tox. As in the work of enabling the coverage test, we have added the plugin pytest-cov. Thus former users who have already run the ""make unittest"" may encounter such issue.

Solution:
Run ""make clean"" first.;;;","24/Apr/17 12:36 PM;baohua;Very clear reason and solution, thanks, chao!;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Fix CI with compose support,FABP-55,13893,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,28/Dec/16 6:20 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,31/Dec/16 12:22 PM,,v1.0.0,,,0,SDK-Python,,"Currently we run ci locally, this will be difficult to interact with those peer/cop/orderer.

We plan to have a docker-compose file to boot such a env in the CI system, and run those testing in the booted env.",,baohua,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,,,,FABP-133,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgbj:",,,,,,Sprint 4,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let rocketchat track the ci for fabric-sdk-py,FABP-56,14786,,Task,In Progress,FABP,Fabric SDK Python,software,baohua,,,Medium,,jwagantall,baohua,baohua,14/Feb/17 3:54 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,,,Future,,,0,SDK-Python,,"A notification should be sent to the rocketchat channel when 

* Some patchsets are created
* Ci testing finished or failed
* Some one review a patchset",,baohua,jwagantall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxkyn:",,,,,,,,,,,,,,,,,,,,,,baohua,jwagantall,,,,,,,,"15/Nov/17 2:18 PM;baohua;[~ryjones] Is v1.1 still a valid target?;;;","15/Jun/18 7:48 AM;jwagantall;These notifications exists already and are better managed via Gerrit. 

Under Settings->Watched Projects-> (Add project ""fabric-sdk-py""). 

 

Gerrit notifications are better to avoid spam to all users. Anyone wanting to track these notifications can add the wanted projects into their own settings. 

Gerrit also offers an ""Only if"" value that can narrow the notifications to just certain cases. ;;;","15/Jun/18 10:50 AM;baohua;[~jwagantall], thanks jessica, however, that way can only receive email, which is not convenient for us to track.

Is it possible to trigger some message posting in rocketchat channel automatically?

Thanks!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare 0.7 release for python sdk,FABP-57,28337,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,09/Mar/18 11:09 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,12/Mar/18 2:26 PM,,,,,0,SDK-Python,,"Will release the 0.7 version after:
 * Fixing the invocation bug.
 * Refine documentation.

 ",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz0en:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"09/Mar/18 11:22 PM;baohua;https://gerrit.hyperledger.org/r/#/c/18929/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update with latest proto files,FABP-58,16032,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,27/Apr/17 11:02 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,17/May/17 4:35 PM,,v1.0.0,,,0,,,,,baohua,lafenicecc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxrd3:",,,,,,Sprint 4,,,,,,,,,,,,,,,,baohua,lafenicecc,,,,,,,,"28/Apr/17 11:02 AM;lafenicecc;[WIP] https://gerrit.hyperledger.org/r/#/c/8617/ ;;;","12/May/17 4:34 PM;baohua;https://gerrit.hyperledger.org/r/#/c/8617/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Revise user role in chaincode test,FABP-59,16671,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,WeiHu,lafenicecc,lafenicecc,12/May/17 12:40 PM,27/Jun/19 9:56 AM,28/Oct/23 2:25 AM,27/Jun/19 9:56 AM,,Future,,,0,python-SDK,SDK-Python,"Now we are using default channel when testing chaincode (see chaincode_test.py), so only admin user is allowed to operate.

Current we tried to enroll user (through get_submitter), but it doesn't work. Need to revise it.",,david_dornseifer,lafenicecc,WeiHu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9q7:",,,,,,Sprint 4,,,,,,,,,,,,,,,,david_dornseifer,lafenicecc,WeiHu,,,,,,,"26/May/17 11:50 AM;david_dornseifer;Hi, 

get_submitter works fine for me. Please have a try ```tox – test/integration/user_test.py```. 

The user 'user' can be enrolled with password 'userpw'.;;;","14/Jul/17 12:08 PM;WeiHu;This task will be done after the `install chaincode` task being done.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
