Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Devmode Consensus Engine Configuration Issue,STL-1573,40108,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,arsulegai,Atlowell,Atlowell,24/May/19 2:21 AM,25/Feb/20 4:39 AM,28/Oct/23 3:34 AM,,1.1,Sawtooth Version 1.2,1.1,Sawtooth Version 1.2,,,,,,,0,Consensus,Devmode,,,,"The devmode consensus engine configuration file has the command line arguments commented out, which is inconsistent with other components of the system.

In addition, there is a statement in main.rs which is intended to set a default connection value of ""tcp://localhost:5050"", however, if the engine is run with the command line arguments commented out, or with command line arguments that do not specify a server connection, the consensus engine does not connect and cannot validate.

Seems to be a cause of STL 1535",The issue exists in both Sawtooth versions 1.2 and 1.1 using the latest devmode consensus engine available from the apt-get repositories.  dpkg shows the devmode consensus engine version to be 1.1.5 in both of these scenarios.,arsulegai,Atlowell,,,,,,,,,,,,,,,,,,,,,,,,,STL-1535,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|i00p0s:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),arsulegai,Atlowell,,,,,,,"18/Oct/19 3:45 AM;Atlowell;UPDATE: Second part of this issue seems to relate to sawtooth core PR #1966 being applied to master branch right before devmode was moved to a new repo, thus it was never applied to branch 1-1.;;;;","24/Feb/20 2:00 PM;arsulegai;This has been ported to 1.1 branch as well. PR [#2262|https://github.com/hyperledger/sawtooth-core/pull/2262] solves the issue on 1.1 branch.;;;","24/Feb/20 2:05 PM;arsulegai;[~Atlowell] I didn't get your first part in this issue. Are you asking to uncomment the args passed by default?;;;","25/Feb/20 4:39 AM;Atlowell;[~arsulegai] At least as of the time I reported this issue, the configuration files of all other sawtooth components had the default args uncommented.  The sawtooth devmode engine had its commented, which led to inconsistent and confusing behavior;;;",,,,,,,
Describe consensus interface in Architecture guide,STL-1574,40110,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,achenette,achenette,achenette,24/May/19 4:45 AM,19/Jun/19 12:29 AM,28/Oct/23 3:34 AM,,,,,,Documentation,,,,,,0,Documentation,,,,,"Provide an overview of the Sawtooth consensus interface, with a concise summary of the necessary architecture-level details.

The App Dev Guide should  have an a link to this information, plus (if appropriate) appdev-level information (see STL-1551 and STL-1553).",,achenette,,,,,,,,,,,,,,,,,,,,STL-1351,,,,,,STL-1553,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|i00qlc:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),1.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,,,,,,,,,,
Define list & priority of Troubleshooting Guides,STL-1575,40190,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,rberg2,mfford,mfford,29/May/19 4:46 AM,05/Jun/19 12:57 AM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"Determine the other troubleshooting guides that need to be created and then prioritize the order they should be written in. Ultimately this could result in a comprehensive troubleshooting guide across repos for the purpose of providing tutorials to help developers with verification.
Example Repos to prioritize:
-Grid
-AWS
-Sawtooth SupplyChain",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|i00pt4:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
Link Swift Signing API docs to client tutorial docs,STL-1576,40252,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,dplumb,dplumb,01/Jun/19 12:41 AM,05/Jun/19 3:15 AM,28/Oct/23 3:34 AM,05/Jun/19 3:15 AM,,,,,,,,,,,0,,,,,,"The API docs for the Swift SDK are being generated but there is no link to them in the main Swift SDK documentation. There should be a link to the SDK docs, following a similar pattern to the other SDK documentation.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00pt0:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,,,,,,,,,,
Rewrite sawtooth-sdk-go master Jenkinsfile in declarative syntax and enable nightly scheduled builds,STL-1577,40298,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,mfford,mfford,03/Jun/19 10:29 PM,20/Jun/19 4:15 AM,28/Oct/23 3:34 AM,20/Jun/19 4:15 AM,,,,,,,,,,,0,,,,,,This requires resolution of the current issue blocking the Go SDK,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Impediment,,Unset,No,,,"1|i00pt6:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),0.0,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
Add links to mobile Swift SDK docs,STL-1578,40325,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,pschwarz,pschwarz,04/Jun/19 4:25 AM,18/Jun/19 7:20 AM,28/Oct/23 3:34 AM,18/Jun/19 7:20 AM,,,Sawtooth Version 1.2,,Documentation,,,,,,0,Documentation,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00pt2:i",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Document Ubuntu 18/bionic support,STL-1579,40329,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,pschwarz,pschwarz,04/Jun/19 4:28 AM,17/Jul/19 12:42 AM,28/Oct/23 3:34 AM,17/Jul/19 12:42 AM,,,Sawtooth Version 1.2,,,,,,,,0,,,,,,"Update sawtooth-core and other sawtooth-* docs to change support statement.

Currently, the docs say that only Ubuntu 16.4/xenial is supported (aka tested, per the procedures in the App Dev and Sys Admin guides).",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00q64:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Send community-architects a note about the upcoming release,STL-1580,40330,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,amundson,amundson,amundson,04/Jun/19 4:28 AM,24/Jul/19 11:38 PM,28/Oct/23 3:34 AM,24/Jul/19 11:38 PM,,,,,,,,,,,0,,,,,,"Once we've branched, we should send a note to the community architects about the upcoming release so they can do any community architect-ish stuff necessary.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00q5w:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,,,,,,,,,,
Test App Dev Multinode Procs with PBFT,STL-1581,40332,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,mfford,mfford,04/Jun/19 4:30 AM,25/Jun/19 2:52 AM,28/Oct/23 3:34 AM,25/Jun/19 2:52 AM,,,,,,,,,,,0,,,,,,"Current procedures are marked ""tested with Ubuntu 16.04 only"" (only PoET steps were tested). Also, several general steps have changed slightly (even for the PoET path).To do before the chime release:

Test the App Dev Guide's multi-node procedure ""Creating a Sawtooth Test Network"" on Bionic, using PBFT consensus. Communicate (or make) all necessary corrections and essential improvements.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00pt2:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,,,,,,,,,,
Test App Dev multinode procs with PoET,STL-1582,40333,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ryanbeck,pschwarz,pschwarz,04/Jun/19 4:36 AM,19/Jul/19 10:33 PM,28/Oct/23 3:34 AM,19/Jul/19 10:33 PM,,,,,,,,,,,0,,,,,,"Current procedures are marked ""tested with Ubuntu 16.04 only"". In addition, several general and PoET-specific steps have changed recently. To do before the chime release:
 * Test the App Dev Guide's multi-node procedure ""Creating a Sawtooth Test Network"" on Bionic, using PoET consensus. Communicate (or make) all necessary corrections and essential improvements.",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00q6c:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Test Sys Admin multinode procs with PBFT,STL-1583,40334,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,pschwarz,pschwarz,04/Jun/19 4:36 AM,14/Jun/19 6:11 AM,28/Oct/23 3:34 AM,14/Jun/19 6:11 AM,,,,,,,,,,,0,,,,,,"The PBFT steps are new for this procedure. To do before the chime release:
 * Test the Sys Admin Guide's procedure on Bionic, using PBFT consensus. Communicate (or make) all necessary corrections and essential improvements.

Procedure: ""Setting Up a Sawtooth Network"" (use the PBFT steps)
 [https://sawtooth.hyperledger.org/docs/core/nightly/master/sysadmin_guide/setting_up_sawtooth_poet-sim.html]",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00pt3:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Test Sys Admin multinode procs with PoET,STL-1584,40335,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ryanbeck,pschwarz,pschwarz,04/Jun/19 4:38 AM,13/Jul/19 12:54 AM,28/Oct/23 3:34 AM,13/Jul/19 12:54 AM,,,,,,,,,,,0,,,,,,"Current procedures are marked ""tested with Ubuntu 16.04 only"". In addition, the general procedure and some PoET steps have changed recently. To do before the chime release:
 * Test the Sys Admin Guide's procedure on Bionic, using PoET consensus. Communicate (or make) all necessary corrections and essential improvements.

Procedure: ""Setting Up a Sawtooth Network"" (use the PoET steps)
 [https://sawtooth.hyperledger.org/docs/core/nightly/master/sysadmin_guide/setting_up_sawtooth_poet-sim.html]",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00q6s:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Update release name & number in docs for Chime release,STL-1585,40336,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,pschwarz,pschwarz,04/Jun/19 4:39 AM,17/Jul/19 12:42 AM,28/Oct/23 3:34 AM,17/Jul/19 12:42 AM,,,Sawtooth Version 1.2,,Documentation,,,,,,0,Documentation,,,,,"Find and update all mentions of ""bumper"" and ""1.1.x"" in the sawtooth-core (and related) docs.",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1539,,,No,,,,Unset,No,,,"1|i00q66:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Describe node catch-up for PBFT doc,STL-1586,40337,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,achenette,pschwarz,pschwarz,04/Jun/19 4:40 AM,05/Jun/19 12:18 AM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|i00q7o:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,,,,,,,,,,
Add CI test for cargo packaging for packages that are published to crates,STL-1587,40351,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,ryanbeck,ryanbeck,ryanbeck,04/Jun/19 6:45 AM,04/Jun/19 6:45 AM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,,,ryanbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,,,Unset,No,,,"1|i00qak:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ryanbeck,,,,,,,,,,,,,,,,,,
Sabre 1.0,STL-1588,40368,,Epic,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,mfford,agunde,agunde,04/Jun/19 10:42 PM,19/Jul/19 10:34 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"This includes all story that are required to make Sabre ready for its 1.0 release.

 

This includes smart contracts being at full parity with Transaction Processors.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-10,,Sabre 1.0,To Do,No,,,,Unset,No,,,"1|i00cxg:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Add compatiblity section to Sabre Doc index,STL-1589,40369,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,04/Jun/19 10:45 PM,18/Jun/19 11:42 PM,28/Oct/23 3:34 AM,18/Jun/19 11:42 PM,,,,,,,,,,,0,,,,,,Link the the version compatibility section should be added to [https://github.com/hyperledger/sawtooth-sabre/blob/master/docs/source/_templates/indexcontent.html] That file should have a link to everything in the top level table of contents.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00q83:r",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Write How to Doc on Smart Permissions,STL-1590,40370,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 10:47 PM,04/Jun/19 10:47 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"The current docs have an incomplete document on what smart permissions are and does not have a how to guide on how to leverage smart permissions and pike within Sabre. Both documents should be completed and added to the Sabre documentation.

 

 ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qe4:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Replace all instances of agunde406/rust-crypto with rust-crypto-wasm,STL-1591,40371,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,04/Jun/19 10:50 PM,17/Jun/19 9:53 PM,28/Oct/23 3:34 AM,17/Jun/19 9:53 PM,,,,,,,,,,,0,,,,,,"When Sabre was first written there was not a version of rust-crypto that could be compiled into wasm so I created a fork that removed everything except the functiality we needed for the smart contracts so it could be compiled into wasm. Now there is a fork of rust crypto that can be compiled in called rust-crypto-wasm. All instance of agunde406/rust-crypto and should be replace with rust-crypto-wasm = ""0.3""

 ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00q83:y",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Add unit tests for Sabre TP,STL-1592,40373,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 10:54 PM,04/Jun/19 10:57 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"Now that Sabre uses 0.3 version of the rust sdk a MockTransactionContext can be created and in file units tests can be written. They should be written for the state, payload and handler operations.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qek:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Add running unit tests to the sabre Jenkinsfiles,STL-1593,40372,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 10:52 PM,04/Jun/19 10:55 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"When the protocols were added, several unit tests were added as well. Before there was only an integration test so the jenkins file is missing a command to run ""cargo test"" on the sdk/tp code.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qes:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Update remaining code in Sabre to be rust edition 2018,STL-1594,40374,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,04/Jun/19 10:56 PM,08/Jun/19 5:52 AM,28/Oct/23 3:34 AM,08/Jun/19 5:52 AM,,,,,,,,,,,0,,,,,,"The Sabre CLI, intkey multiply, and the sabre sdk are still currently edition 2015. They should be updated for consistency.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00q83:w",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Update CliError to use source,STL-1595,40375,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,04/Jun/19 10:59 PM,18/Jun/19 1:34 AM,28/Oct/23 3:34 AM,18/Jun/19 1:34 AM,,,,,,,,,,,0,,,,,,The use of cause and description for rust Errors has been deprecated and should be replaced with source.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00q83:yi",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Create tools to allow sabre contracts to be submitted into genesis block,STL-1596,40376,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 11:01 PM,04/Jun/19 11:01 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"Currently, there is not a way to get the batch bytes from the sabre cli. This should be added so the file can be added to the genesis block.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qf8:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Add rust linting to Sabre,STL-1597,40377,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,agunde,agunde,agunde,04/Jun/19 11:02 PM,17/Jun/19 9:52 PM,28/Oct/23 3:34 AM,17/Jun/19 9:52 PM,,,,,,,,,,,0,,,,,,"Currently, the Sabre code is not linted, This should be added to the Jenkins file and any issues should be addressed.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qrv:u",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Update Sabre docker-compose file to use validator-key volume,STL-1598,40378,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 11:03 PM,04/Jun/19 11:03 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,Update the Sabre docker-compose files to use a validator-key volume instead of coping the keys.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qfo:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
"On Execute, check request input/outputs against namespace permissions",STL-1599,40379,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 11:05 PM,04/Jun/19 11:05 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"Currently, only the input and outputs provided in the execute action payload are checked.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qfw:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
Add commands to the Sabre cli to list/show components,STL-1600,40380,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,agunde,agunde,04/Jun/19 11:06 PM,04/Jun/19 11:06 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,"Currently, only commands exist to submit transactions to Sabre tp. Commands to list and show the different components (contract registry, namespaces, contracts. etc) should be added. This will aid in improving the application developers guide.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,STL-1588,,,No,,,,Unset,No,,,"1|i00qg4:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,,,,,,,,,,
