Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Code refactoring about generate_identifier(signingkey) etc in SignedObject,STL-14,13617,Task,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,FlyingTiger,FlyingTiger,FlyingTiger,06/Dec/16 11:16 AM,02/Mar/21 4:58 AM,28/Oct/23 3:33 AM,02/Mar/21 4:49 AM,,,,,,,0,Needs-Review,,,," I'll do code refactoring about generate_identifier(signingkey)[(https://github.com/hyperledger/sawtooth-core/blob/master/validator/gossip/signed_object.py#L64)], generate_signing_key(wifstr=None)[https://github.com/hyperledger/sawtooth-core/blob/master/validator/gossip/signed_object.py#L77] and get_verifying_key(serialized_msg, serialized_sig)[https://github.com/hyperledger/sawtooth-core/blob/master/validator/gossip/signed_object.py#L93] in SignedObject, move all of them to signing module etc.",,amundson,FlyingTiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxtg7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,FlyingTiger,,,,,,,"02/Mar/21 4:50 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Failed to build sawtooth-core,STL-15,13989,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,dscrash,dscrash,10/Jan/17 4:57 PM,12/Apr/17 5:12 PM,28/Oct/23 3:33 AM,16/Mar/17 5:17 AM,,,,,,,0,,,,,"Hi all,
I'm following the tutorial (http://intelledger.github.io/tutorial.html), to get involved STL.
When I tried ""Building sawtooth-core"" part, I got error messages below: 


ubuntu@ubuntu-xenial:/$ /project/sawtooth-core/bin/build_all
--- Running protogen ---

/usr/bin/python3: Error while finding spec for 'grpc.tools.protoc' (ImportError: No module named 'grpc')
",,dscrash,toddojala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgqn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,dscrash,toddojala,,,,,,,"11/Jan/17 5:55 AM;toddojala;Jikang:
The tutorial is strictly for version 0.7 of STL.
The tutorial has just been updated to indicate this, and also gives the step for checking out the correct branch:
git checkout 0-7

We will soon be updating the documentation so that the latest version is also supported (0.8).

For now, stick to version 0.7 or branch 0-7

Best,
Todd ;;;","14/Jan/17 6:26 AM;toddojala;Jikang: Just a follow up. Were you able to succeed using the information above?
[~mfford] ;;;","12/Apr/17 5:12 PM;dscrash;Todd : I checkout order version of branch, and I succeeded. Sorry for late comment. 

Recently, I tried to build with the latest version of STL, and I got following error messages(I'm trying to build STL with vagrant) :

ubuntu@ubuntu-xenial:/project$ /project/sawtooth-core/bin/build_python
--- Running protogen ---

Error: protoc not found.

Best,
Jk Shin;;;",,,,,,,,,,,,,,,,,,,,
vagrant up failure in branch 0-7,STL-16,14507,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,yooonseung.choi,yooonseung.choi,02/Feb/17 11:43 AM,12/Apr/17 1:23 AM,28/Oct/23 3:33 AM,12/Apr/17 1:22 AM,,,,,,,0,,,,,"Hi, 

I'm now trying the tutorial: http://intelledger.github.io/tutorial.html 
While i tried the command 'vagrant up', I got error like below:

{code}
==> default: Get:27 http://archive.ubuntu.com/ubuntu xenial-updates/universe amd64 Packages [388 kB]
==> default: Err:27 http://archive.ubuntu.com/ubuntu xenial-updates/universe amd64 Packages
==> default:   Hash Sum mismatch
==> default: Get:28 http://archive.ubuntu.com/ubuntu xenial-updates/universe Translation-en [144 kB]
==> default: Get:29 http://archive.ubuntu.com/ubuntu xenial-updates/multiverse amd64 Packages [8,080 B]
==> default: Get:30 http://archive.ubuntu.com/ubuntu xenial-backports/main Sources [3,176 B]
==> default: Get:31 http://archive.ubuntu.com/ubuntu xenial-backports/universe Sources [1,868 B]
==> default: Get:32 http://archive.ubuntu.com/ubuntu xenial-backports/main amd64 Packages [4,696 B]
==> default: Get:33 http://archive.ubuntu.com/ubuntu xenial-backports/main Translation-en [3,200 B]
==> default: Get:34 http://archive.ubuntu.com/ubuntu xenial-backports/universe amd64 Packages [2,508 B]
==> default: Get:35 http://archive.ubuntu.com/ubuntu xenial-backports/universe Translation-en [1,216 B]
==> default: Fetched 11.1 MB in 14s (794 kB/s)
==> default: Reading package lists...
==> default: E: Failed to fetch http://archive.ubuntu.com/ubuntu/dists/xenial-updates/universe/binary-amd64/by-hash/SHA256/14ca9c475bd79a571a5cf0a983ce3e42e0cea03f648ccc78568370ec3dc9fb0a  Hash Sum mismatch
==> default: E: Some index files failed to download. They have been ignored, or old ones used instead.
==> default: + exit 1
The SSH command responded with a non-zero exit status. Vagrant
assumes that this means the command failed. The output for this command
should be in the log above. Please read the output to determine what
went wrong.
{code}

I found that another repository (hyperledger, https://github.com/hyperledger/sawtooth-core) also have a same error in branch '0-7'

how can i fix this error?

----

ps. I cloned v0.8.0 tagged files in hyperledger repository, and there was no 'Hash Sum mismatch' error. but, VM in this branch cannot runs the tutorial files.
",,mfford,toddojala,yooonseung.choi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxjuv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,toddojala,yooonseung.choi,,,,,,"04/Feb/17 12:22 AM;toddojala;[~yooonseung.choi]  - I am taking a look at this issue. The download is failing due to a hash mismatch. The hash error could be a mistake on our end.
I'll get back to you!
Todd;;;","04/Feb/17 1:02 AM;toddojala;Also, could you retry the procedure from scratch? The data may have been compromised or scrambled in transmission.
Let me know the results.
thanks;;;","04/Feb/17 2:07 AM;yooonseung.choi;[~toddojala] - Thank you for your support.

I tried with several machines at that time.
(each machines had different environment like Ubuntu, Win, Mac etc.)

But all of environment emitted the same errors.;;;","07/Feb/17 1:09 AM;toddojala;Looking into this further today. thanks for info.;;;","07/Feb/17 5:22 AM;toddojala;[~yooonseung.choi]: Please try:

# vagrant box update
# vagrant up

;;;","12/Apr/17 1:23 AM;mfford;Closed assuming actions resolved issue.;;;",,,,,,,,,,,,,,,,,
Unable to start cluster of 2 validators and 2 transaction processors,STL-17,15263,Bug,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,toddojala,justatad,justatad,09/Mar/17 12:47 AM,02/Mar/21 5:01 AM,28/Oct/23 3:33 AM,,,,,,,,0,Needs-Review,,,,"Hi there,

I have followed the tutorial to setup a new Sawtooth Lake 0.8 environment, however I am unable to start a network of validators and transaction processors using the command in the tutorial:

sawtooth cluster start --count 2 -m subprocess -P tp_intkey_python

I receive the following error trace:

Starting: validator-000
Starting: validator-001
Generating /home/ubuntu/genesis.batch
Cannot have a genesis_batch_file and join an existing network
Exception in thread Thread-5:
Traceback (most recent call last):
  File ""/usr/lib/python3.5/threading.py"", line 914, in _bootstrap_inner
    self.run()
  File ""/usr/lib/python3.5/threading.py"", line 862, in run
    self._target(*self._args, **self._kwargs)
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 128, in setup
    self._socket.bind(self._address)
  File ""zmq/backend/cython/socket.pyx"", line 487, in zmq.backend.cython.socket.Socket.bind (zmq/backend/cython/socket.c:5156)
  File ""zmq/backend/cython/checkrc.pxd"", line 25, in zmq.backend.cython.checkrc._check_rc (zmq/backend/cython/socket.c:7535)
zmq.error.ZMQError: Invalid argument

Traceback (most recent call last):
  File ""/project/sawtooth-core/bin/validator"", line 37, in <module>
    main()
  File ""/project/sawtooth-core/validator/sawtooth_validator/server/cli.py"", line 65, in main
    validator.stop()
  File ""/project/sawtooth-core/validator/sawtooth_validator/server/core.py"", line 227, in stop
    self._network.stop()
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 191, in stop
    self._thread.join()
AttributeError: 'NoneType' object has no attribute 'join'
Cannot have a genesis_batch_file and join an existing network
Exception in thread Thread-5:
Traceback (most recent call last):
  File ""/usr/lib/python3.5/threading.py"", line 914, in _bootstrap_inner
    self.run()
  File ""/usr/lib/python3.5/threading.py"", line 862, in run
    self._target(*self._args, **self._kwargs)
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 128, in setup
    self._socket.bind(self._address)
  File ""zmq/backend/cython/socket.pyx"", line 487, in zmq.backend.cython.socket.Socket.bind (zmq/backend/cython/socket.c:5156)
  File ""zmq/backend/cython/checkrc.pxd"", line 25, in zmq.backend.cython.checkrc._check_rc (zmq/backend/cython/socket.c:7535)
zmq.error.ZMQError: Invalid argument

Traceback (most recent call last):
  File ""/project/sawtooth-core/bin/validator"", line 37, in <module>
    main()
  File ""/project/sawtooth-core/validator/sawtooth_validator/server/cli.py"", line 65, in main
    validator.stop()
  File ""/project/sawtooth-core/validator/sawtooth_validator/server/core.py"", line 227, in stop
    self._network.stop()
  File ""/project/sawtooth-core/validator/sawtooth_validator/networking/interconnect.py"", line 191, in stop
    self._thread.join()
AttributeError: 'NoneType' object has no attribute 'join'",I am running my Vagrant environment on OS X Sierra,amundson,justatad,toddojala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxnlb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,justatad,toddojala,,,,,,"10/Mar/17 12:51 AM;toddojala;[~justatad] There was a known error that causes this, but I believe it was fixed.
It is working for me, as of yesterday.

Please get the latest code and try again.
Make sure that you re-run ""build_all""

Hit me up on our Rocket Chat channel if you would like.
-Todd ;;;","11/Mar/17 2:48 AM;justatad;Hi Todd - Thanks for getting back to me!

I've just grabbed the latest code, rerun ""build_all"" and am still getting the same ZeroMQ error. Any ideas?

Edit: I'm building within the Vagrant test environment, not directly in OS X.;;;","16/Mar/17 4:12 AM;toddojala;[~justatad]Sorry for delay.
Are you still having this issue?
Please try this if so:
Run ""vagrant provision"" from the tools directory.
If that doesn't work, try ""vagrant halt"" and then ""vagrant up"".
If that doesn't work, destroy the vagrant machine and create a new one (vagrant destroy, then vagrant up).

Sawtooth Lake seems to be working OK for us, so I am thinking it is an environment issue.
Best,
Todd;;;","22/Apr/17 7:38 PM;justatad;Hi there - I've switched to using Docker and as such this issue can now be closed. Thanks for your help!

Cheers,

Matthew;;;","02/Mar/21 5:01 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,
"Golang SDK: intkey_go example: ""index out of bound"" panic when endpoint is not specified",STL-24,15984,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,JonathanLevi,JonathanLevi,JonathanLevi,25/Apr/17 11:24 PM,26/Apr/17 12:03 AM,28/Oct/23 3:33 AM,26/Apr/17 12:03 AM,,,,,,,0,,,,,"Since the os.Args in Golang is zero based, os.Args[1] effectively relies on having at least 2 elements in the array. 

{quote}
func main() {
	endpoint := ""tcp://localhost:40000""
	if len(os.Args) > 0 {
		endpoint = os.Args[1]
	}

	prefix := intkey.Hexdigest(""intkey"")[:6]
	handler := intkey.NewIntkeyHandler(prefix)
	processor := processor.NewTransactionProcessor(endpoint)
	processor.AddHandler(handler)
	processor.Start()
}
{quote}

In particular, it panics when ""main"" is called without the endpoint argument/parameter, this block

https://github.com/hyperledger/sawtooth-core/blob/d40720ec3659c431df6cd5a132c801ada3ceb4aa/sdk/examples/intkey_go/src/sawtooth_intkey/main.go#L11

results in an ""index out of bound"" panic.",,JonathanLevi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9uv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,JonathanLevi,,,,,,,,"26/Apr/17 12:03 AM;JonathanLevi;Closed via https://github.com/hyperledger/sawtooth-core/pull/377 Thanks.;;;",,,,,,,,,,,,,,,,,,,,,,
Make context manager pass unit tests,STL-26,16173,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,mfford,mfford,03/May/17 5:35 AM,08/Jun/17 3:41 AM,28/Oct/23 3:33 AM,08/Jun/17 3:41 AM,Validator Txn Execution,,,,,,0,MVP,,,,,,mfford,,,,,,,,,,,,,,,,,,,STL-55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-47,,,,NML-2505,,,,,,"1|hzxyf3:",,,,,,Sprint 34,Sprint 35,Sprint 36,,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8 REST API,STL-28,16175,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,delventhalz,mfford,mfford,03/May/17 5:39 AM,26/Jan/18 1:35 AM,28/Oct/23 3:33 AM,26/Jan/18 1:35 AM,,,,,,,0,,,,,"Build a separate REST API process to run translate HTTP/JSON standards to validator communication.

 

Must include these GET routes:
 * /state
 * /state/\{address}
 * /blocks
 * /blocks/\{block id}
 * /batches
 * /batches/\{batch id}
 * /transactions/\{transaction id}
 * /batch_status

 

Must include this POST route:
 * /batches

 

Must also be capable of:
 * specifying specific blocks as chain head
 * comprehensively report errors
 * paginating responses
 * waiting for commits after batch submission

 

Must meet these standards:
 * follow pragmatic RESTful standards
 * comprehensive documentation
 * comprehensive testing",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,0.8 REST API,Done,,,,,,,,"1|hzxsev:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executor treats TP internal error as invalid transaction,STL-31,16179,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,agunde,amundson,amundson,03/May/17 5:49 AM,19/May/17 12:12 AM,28/Oct/23 3:33 AM,19/May/17 12:12 AM,,,,,,,0,MVP,,,,"If a transaction processor returns an internal error, the executor will treat this as an invalid transaction.  This is extremely incorrect, as internal error indicates the transaction processor could not determine validity of the transaction.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9w7:",,,,,,Sprint 34,,,,,,,,,,,2.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8 State Export,STL-32,16180,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,mfford,mfford,03/May/17 5:53 AM,26/Jan/18 1:35 AM,28/Oct/23 3:33 AM,26/Jan/18 1:35 AM,,,,,,,0,,,,,"Provide a way to replicate the data stored in the block state into alternative databases, for ease of querying, indexing etc.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-8,,0.8 State Export,Done,,,,,,,,"1|hzxsfr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rename MAINTAINERS file to COMMITTERS,STL-33,16181,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,ryanbeck,amundson,mfford,03/May/17 5:58 AM,09/May/17 6:31 AM,28/Oct/23 3:33 AM,09/May/17 6:31 AM,,,,,,,0,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NML-2486,,,,,,"1|hzx9v3:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xo create's --wait option does not wait,STL-34,16182,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,amundson,amundson,03/May/17 6:08 AM,06/Jun/17 4:44 AM,28/Oct/23 3:33 AM,01/Jun/17 2:57 AM,XO Family,,,,,,0,help-wanted,,,,"When creating a game with xo, it returns before the game is committed, even with --wait:

{noformat}
ubuntu@ubuntu-xenial:/project$ xo create game005 --wait
Response: {
  ""link"": ""http://127.0.0.1:8080/batch_status?id=551a807fd5455c30fb6a5c6e4550c260c1d5e9eac0990712e45e4df92ea01bcb2e98896feb99895ce65bd25c2b8d38a368b204e2d9c984d8a230c6d46001c06e""
}
{noformat}

Expected behavior is for the CLI to pause until either an error is returned or the transaction has been committed to a winning block.",,amundson,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxwhz:",,,,,,Sprint 35,,,,,,,,,,,2.0,,,,,,,,,,,,amundson,delventhalz,,,,,,,"03/May/17 6:19 AM;amundson;The REST API does support waiting.  One such example might be the sawtooth submit implementation.;;;","03/May/17 7:14 AM;delventhalz;Doesn't look like the XO CLI actually does anything with the {{--wait}} flag other than parsing it. The simplest implementation of this would just be to add {{'?wait'}} to the end of the URL the batch is submitted to. However, if forced to wait too long, this will eventually be timed out by the REST API.

The Sawtooth CLI is a little more sophisticated. You can specify a timeout (i.e. {{--wait 30}}), but if you don't, it will wait _indefinitely_. It does this by first submitting the batch without waiting, and then repeatedly querying for batch status (which also can be waited for), resending the query every time it times out. You can find this implementation in {{cli/sawtooth_cli/submit.py}} lines 60-81.;;;",,,,,,,,,,,,,,,,,,,,,
Research Go SDK Distribution Model,STL-35,16183,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,mfford,03/May/17 6:10 AM,19/May/17 4:45 AM,28/Oct/23 3:33 AM,19/May/17 4:45 AM,Go SDK,Packaging,,,,,0,,,,,"Output of this task should be additional stories for distributing the SDK
",,adamludvik,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-36,,,,NML-2405,,,,,,"1|hzxsw7:",,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,adamludvik,mfford,,,,,,,"18/May/17 3:32 AM;adamludvik;This has been done side-band. We should use glide for this. See STL-237 and STL-238;;;",,,,,,,,,,,,,,,,,,,,,,
0.8 Go SDK,STL-36,16184,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,mfford,mfford,03/May/17 6:13 AM,20/Dec/21 5:52 PM,28/Oct/23 3:33 AM,02/Mar/21 5:02 AM,,,,,,,0,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-12,,0.8 Go SDK,To Do,,,,,,,,"1|i00odj:0i",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Executor does not recover after TP crash,STL-37,16186,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,agunde,amundson,amundson,03/May/17 6:27 AM,15/Jun/17 12:00 AM,28/Oct/23 3:33 AM,15/Jun/17 12:00 AM,,,,,,,0,MVP,,,,"If a transaction processor crashes without sending a friendly disconnect message to the validator, the executor will never detect it is gone.  This essentially hangs the validator.

This can be replicated by modifying one of the go examples and referencing a field in a struct when it's nil (this causes a runtime error similar to segfault).  Another approach might be to kill -9 a running TP.  Starting the transaction processor back up will register, but submitted transactions will not be processed.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxyav:",,,,,,Sprint 34,Sprint 36,,,,,,,,,,3.0,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Go SDK does not send graceful disconnect message on CTRL-C,STL-38,16194,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,amundson,amundson,03/May/17 6:45 AM,18/May/17 6:30 AM,28/Oct/23 3:33 AM,08/May/17 11:50 PM,Go SDK,,,,,,0,,,,,"If you CTRL-C a transaction processor written using the Go SDK, it does not send a graceful disconnect message to the validator.  As a result, it is necessary to restart the validator often during TP development.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-36,,,,,,,,,,"1|hzx9wf:",,,,,,Sprint 34,,,,,,,,,,,,,,,,,,,,,,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Startup without initializing genesis data can be confusing,STL-39,16196,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,amundson,amundson,03/May/17 6:57 AM,18/May/17 6:12 AM,28/Oct/23 3:33 AM,16/May/17 3:39 AM,Valdator Server,,,,,,0,MVP,,,,"During development, it is common to startup a single validator.  This requires two steps prior to staring the validator: a) create a validator key with 'sawtooth admin keygen' and b) create data for the genesis block with 'sawtooth admin genesis'.

If a user using the single validator forgets step (b), the validator will currently startup and start peering.  The validator is essentially waiting for a genesis block before it will start publishing it's own blocks.  Peering happens in one thread while the journal is running in it's own threads.  (This maybe an imprecise description of the validator's behavior, as the implementation is fairly detailed.)

Current output in this situation looks like this:

{noformat}
./bin/validator -vv --public-uri tcp://localhost:8800/
{noformat}

{noformat}
...
[19:51:14.832 DEBUG    genesis] genesis_batch_file: None
[19:51:14.832 DEBUG    genesis] chain_head: None False
[19:51:14.833 DEBUG    genesis] block_chain_id: None
[19:51:14.833 DEBUG    genesis] Requires genesis: False
[19:51:14.834 DEBUG    selector_events] Using selector: ZMQSelector
[19:51:14.835 DEBUG    dispatch] Added send_message function for connection ServerThread
[19:51:14.838 INFO     chain] Chain controller initialized with chain head: None
[19:51:14.838 INFO     publisher] Now building on top of block: None
...
{noformat}

If the user mistakenly forgot the step and is not starting another validator, this debug output does not help.  In fact, the 'None' statements look buggy as it looks like str(a) where 'a is None' in python slipped through and got logged.  (This is intentional currently, so it's not actually buggy.)

Recommend we have the genesis code identify this situation and log an INFO-level message with: 'No genesis block is present, resulting in no initial chain head; block publishing is disabled until a chain head is updated' or similar and removing the logging statements where 'None' occurs (or changing them for clarity).",,amundson,cintel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx9wv:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,amundson,cintel,,,,,,,"04/May/17 2:48 AM;cintel;The update message should not reference the genesis block. Better wording would be ""Block publishing is suspended until new chain head arrives."";;;",,,,,,,,,,,,,,,,,,,,,,
Send TP Registration ACK back before Transaction Requests,STL-40,16216,Bug,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,agunde,pschwarz,pschwarz,03/May/17 7:28 AM,02/Mar/21 5:03 AM,28/Oct/23 3:33 AM,,Validator Txn Execution,,,,,,0,MVP,Needs-Review,,,"Currently, when a transaction processor (TP) registers, it is added immediately to the collection of processors before the the acknowledgement message is sent back to the TP.  

This can result in situations where the TP receives transaction process requests before it receives the registration response.  It requires more complexity on the part of the SDK to manage message ordering.

The validator should send the acknowledgement before allowing the TP to be used during transaction execution. ",,amundson,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxsv3:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,amundson,pschwarz,,,,,,,"20/May/17 12:16 AM;pschwarz;This can be fixed in a similar fashion to the way State Delta Subscriber registration handles this.;;;","02/Mar/21 5:03 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,
