Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Sync the latest files of fabric,FABG-803,35855,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,hehao,hehao,hehao,04/Dec/18 8:06 PM,25/Jan/19 10:19 AM,28/Oct/23 3:24 AM,25/Jan/19 10:19 AM,,,,,,,,0,,,"Synchronize the fabric and SDK files, now the latest fabric updates the txutils.go file referenced by SDK, adds the GetPayloads function, and now synchronizes the latest files.",,hehao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i001nb:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),hehao,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Enable 1.4 RC integration tests,FABG-804,36460,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,04/Jan/19 12:48 AM,12/Apr/19 12:34 AM,28/Oct/23 3:24 AM,12/Apr/19 12:34 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,FABG-805,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i004tb:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
MSP SDK integration tests failing against fabric 1.4 RC,FABG-805,36472,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,aleksandar.likic,aleksandar.likic,aleksandar.likic,04/Jan/19 11:51 PM,05/Jan/19 12:28 AM,28/Oct/23 3:24 AM,05/Jan/19 12:28 AM,,,,,,,,0,,,"{code:java}
integration-tests_1_fce4a0011b94 | — FAIL: TestEnrollWithOptions (0.80s) integration-tests_1_fce4a0011b94 | enrollment_test.go:157: Registration failed: failed to register user: failed to register user: Response from server: Error Code: 20 - Authentication failure{code}
{code:java}

integration-tests_1_fce4a0011b94 | — FAIL: TestEnrollWithProfile (0.81s) integration-tests_1_fce4a0011b94 | enrollment_test.go:224: Registration failed: failed to register user: failed to register user: Response from server: Error Code: 20 - Authentication failure {code}",,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,FABG-804,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i004vz:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,"05/Jan/19 12:27 AM;aleksandar.likic;https://gerrit.hyperledger.org/r/#/c/28482/;;;",,,,,,,,,,,
Rebase pinning to Fabric 1.4 RC2,FABG-806,36474,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,05/Jan/19 1:16 AM,05/Jan/19 4:04 AM,28/Oct/23 3:24 AM,05/Jan/19 4:04 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i004wf:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Update to Go 1.11,FABG-807,36477,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,05/Jan/19 4:12 AM,08/Jan/19 11:16 PM,28/Oct/23 3:24 AM,08/Jan/19 11:16 PM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i004x3:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
unique protos update in thirdparty for fabric 1.4,FABG-808,36578,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,firas.qutishat,firas.qutishat,09/Jan/19 2:48 AM,25/Jan/19 10:20 AM,28/Oct/23 3:24 AM,25/Jan/19 10:20 AM,,,,,,,,0,,,,,firas.qutishat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i005j3:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),firas.qutishat,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Event client doesn't properly handle 403 error from server,FABG-809,36579,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,09/Jan/19 4:37 AM,09/Jan/19 6:43 AM,28/Oct/23 3:24 AM,09/Jan/19 6:43 AM,,,,,,,,0,,,The event client attempts to reconnect after receiving a 403 response status from the Deliver service. The 403 error is a fatal error and no reconnect attempts should be made.,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i005jb:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bstasyszyn,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Access denied error not handled properly by discovery,FABG-810,36582,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,09/Jan/19 6:30 AM,11/Jan/19 2:25 AM,28/Oct/23 3:24 AM,11/Jan/19 2:25 AM,,,,,,,,1,,,"After a user has been revoked, these errors are output periodically:

 [fabsdk/client] 2019/01/08 21:21:18 UTC - dynamicdiscovery.(*ChannelService).evaluate -> WARN error getting peers from discovery response: access denied
 [fabsdk/util] 2019/01/08 21:21:18 UTC - lazyref.(*Reference).refreshValue -> WARN Error - initializer returned error: error getting peers from discovery response: access denied. Will retry again later
",,bstasyszyn,denniskuhnert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i005jz:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bstasyszyn,denniskuhnert,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Update to Fabric 1.4.0,FABG-811,36621,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,10/Jan/19 4:55 AM,11/Jan/19 12:22 AM,28/Oct/23 3:24 AM,11/Jan/19 12:13 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i005rb:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Access denied error not handled properly by Selection service,FABG-812,36629,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,10/Jan/19 8:32 AM,11/Jan/19 4:11 AM,28/Oct/23 3:24 AM,11/Jan/19 4:11 AM,,,,,,,,0,,,,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i005sv:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),bstasyszyn,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Channel Client Metrics - Switch to Fabric's implementation,FABG-813,36655,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,Baha-sk,Baha-sk,Baha-sk,11/Jan/19 4:54 AM,12/Feb/19 3:24 AM,28/Oct/23 3:24 AM,12/Feb/19 3:24 AM,,,,,,,,0,,,"The current version of metrics in the GO SDK's channel client is using an external packages (uber-go package and cactus/go-statsd-client/statsd package) to report metrics.

 

Remove the external logic and use Fabric's metrics package (go-kit package) instead.",,Baha-sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i005yn:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Baha-sk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Infer config.yaml default peers/orderers/certificateAuthorites-><hostname>->url from hostname if not specified,FABG-814,36945,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,nyet,nyet,19/Jan/19 2:20 AM,29/Jan/19 7:36 AM,28/Oct/23 3:24 AM,29/Jan/19 7:36 AM,,,,,,,,0,,,"Currently, in {{config.yaml}}, url has to be hardcoded in *{{peers/orderers/certificateAuthorites-><hostname>->url}}* or in the *{{entityMatchers}}* section.

If it is omitted, the default should rather be inferred from {{hostname}}, where
 * *{{orderers-><hostname>->url}}* should be default *{{<hostname>:7050}}*
 * *{{peers-><hostname>->url}}* should be default *{{<hostname>:7051}}*
 * *{{certificateAuthorities-><hostname>->url}}* should be default *{{<hostname>:7054}}*",,nyet,,,,,,,,,,,,,,,,,,,,,,FABG-817,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i007sn:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),nyet,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,"22/Jan/19 10:10 AM;nyet;Question: is *{{certificateAuthorities-><hostname>->caName}}* really optional?

See also FABG-817;;;","23/Jan/19 8:49 AM;nyet;[https://gerrit.hyperledger.org/r/#/c/28878/];;;",,,,,,,,,,
make multi-errors on a single line,FABG-815,37023,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,Baha-sk,Baha-sk,Baha-sk,22/Jan/19 5:37 AM,23/Jan/19 2:24 AM,28/Oct/23 3:24 AM,23/Jan/19 2:24 AM,,,,,,,,0,,,"currently they're separated by \n

replace \n by a single line separator to help finding errors in the logs quicker.",,Baha-sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00893:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),Baha-sk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
"logger Debugf for ""buildChannelHeader"" prints garbage epoch",FABG-816,37084,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,nyet,nyet,24/Jan/19 3:11 AM,24/Jan/19 12:37 PM,28/Oct/23 3:24 AM,24/Jan/19 12:37 PM,,,,,,,,0,,,"{code}
[fabsdk/fab] 2019/01/23 17:59:53 UTC - txn.CreateChannelHeader -> DEBU buildChannelHeader - headerType: CONFIG_UPDATE channelID: blockdaemon txID: %!d(fab.TransactionID=e95ff21d6c8c268948357055de471976f840f6533edbbfad641955c6a8996791) epoch: ^@haincodeID:  timestamp: 0001-01-01 00:00:00 +0000 UTC
{code}

Notice the bad format for ""{{epoch: %}}"":
{code}
logger.Debugf(""buildChannelHeader - headerType: %s channelID: %s txID: %d epoch: % chaincodeID: %s timestamp: %v"", headerType, opts.TxnHeader.channelID, opts.TxnHeader.id, opts.Epoch, opts.ChaincodeID, opts.Timestamp)
{code}",,nyet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i008m7:",,,,Unset,Unset,,,,,,,,,,Unset,,,,,,Unset,,Unset,,(Please add usage information),nyet,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,"24/Jan/19 3:16 AM;nyet;https://gerrit.hyperledger.org/r/#/c/28929/;;;",,,,,,,,,,,
Make test cases to test that all config.yaml options marked [Optional] can be omitted.,FABG-817,37128,,Task,Backlog,FABG,Fabric SDK Go,software,troyronda,,,Medium,,,nyet,nyet,25/Jan/19 10:01 AM,25/Jan/19 12:51 PM,28/Oct/23 3:24 AM,,,,,,,,,0,,,"Currently, there are a lot of items marked {{[Optional]}} in the various {{config.yaml}} files. However, there are no test cases that test whether they are truly optional or not.

Confusing things further is that since there is no {{config.yaml}} documentation, the only guide users have is the test case configs. In every one of those files, almost all optional configuration items are exhaustively included; there is no way to document an optional item unless it is actually specified.

One possibility is to comment out optional items to both document them and to provide test case coverage, as is done in the proposed fix for FABG-814

 ",,nyet,,,,,,,,,,,,,,FABG-814,FABG-788,FABG-787,,,,,,FABG-642,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i008vj:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),nyet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery client has been closed due to error: access denied,FABG-818,37143,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Highest,Done,bstasyszyn,denniskuhnert,denniskuhnert,25/Jan/19 7:32 PM,07/Mar/19 5:18 PM,28/Oct/23 3:25 AM,07/Mar/19 5:17 PM,,,,,,,,1,,,"Hey, I think there are some problems with the ""access denied"" close. When a peer is not joined to a channel, but the sdk tries to fetch the config, there is a ""access denied"" and now the sdk disconnects. So all later calls get a 

 
{code:java}
Discovery client has been closed due to error: access denied {code}
 

a) There is no obvious way to check `{{sdk.IsClosed()}}`
 b) The discovery service should not just close because of every access denied error

 

[~bstasyszyn]",,antitoine,bstasyszyn,denniskuhnert,rootDistress,,,,,,,,,,,FABG-825,FABG-826,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i008yv:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),antitoine,bstasyszyn,denniskuhnert,rootDistress,,,,,,,,,,,,,,,,"25/Jan/19 11:34 PM;bstasyszyn;[~denniskuhnert] Can you please add steps to reproduce?;;;","14/Feb/19 8:31 PM;denniskuhnert;[~bstasyszyn] One way I found today:

Setup network, connect SDK, make all calls via SDK:
 * Create channel & join peer
 * (I also set the channel's anchor peers to this peer)
 * Stop peer and prune data
 * Start peer again
 * Join peer to channel

When I then try to fetch channel data, I get the error that the discovery client has been closed.

 

PS: This is not the only way this happens, but so far the only way I could reproduce. Not sure if it also happens when a peer gets temporarily unresponsive.;;;","05/Mar/19 1:18 AM;bstasyszyn;[~denniskuhnert] The main problem is that the SDK doesn't know whether the 'access denied' error is transient (as in the case of the peer being pruned) or fatal (as in the case of the user being revoked). So I think the decision on what to do in the case of an error should be made by the client (i.e. the user of the SDK). I propose the following:
 - Add a WithErrorHandler(handler) option to the SDK which would allow the client to be notified of errors
 - Add a CloseContext(ctxt) function to the SDK which would shut down all resources associated with a given client context

For example:
{code:java}
errHandler := func(ctxt fab.ClientContext, channelID string, err error) {
  if err.Error() == ""access denied"" {
    sdk.CloseContext(ctxt)
    // Need to recreate channel/resmgmt clients that were using this context
  } else {
    // Probably just a transient error - do nothing
  }
}{code}
Please let me know if this would help resolve your problem.;;;","05/Mar/19 3:31 PM;denniskuhnert;[~bstasyszyn] I understand that it is difficult to differentiate. Also in my case, I am using different users with the same SDK.

I would be ok with any way to be able to get notified about the SDK close. May it be a function I can call or a handler I can provide. Then, I would be able to close the SDK and open a new one. (I think there is no ""reconnect"" function, right?);;;","07/Mar/19 5:18 PM;denniskuhnert;[~bstasyszyn] Thank you for the fast fix =);;;",,,,,,,
"Debugf for ""loadAllCAConfigs()"" prints garbage",FABG-819,37157,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,nyet,nyet,26/Jan/19 4:31 AM,26/Jan/19 11:21 AM,28/Oct/23 3:25 AM,26/Jan/19 11:21 AM,,,,,,,,0,,,"{code:java}
[fabsdk/msp] 2019/01/25 19:21:57 UTC - msp.(*IdentityConfig).loadAllCAConfigs -> DEBU Mapped Certificate Authority for [ca.prod.hlf.blockdaemon.io] to [%!s(MISSING)]
{code}
Note the missing argument:
{code:java}
    logger.Debugf(""Mapped Certificate Authority for [%s] to [%s]"", caName)
{code}",,nyet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i0091r:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),nyet,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,"26/Jan/19 4:34 AM;nyet;https://gerrit.hyperledger.org/r/#/c/28961/;;;",,,,,,,,,,,
Implement method which allows to execute transaction without necessety to wait for commit of transaction (asyncroniously),FABG-820,37376,,Task,Backlog,FABG,Fabric SDK Go,software,troyronda,,,High,,,MSam,MSam,01/Feb/19 8:55 PM,08/Aug/19 11:27 AM,28/Oct/23 3:25 AM,,,,,,,,,0,,,"Current [""Execute"" call|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/chclient.go#L111], which allows to execute tx is synchronous, due to it waits for the transaction status.
 There are situations, when there are huge amount of requests to hlf, but no need to wait, when txs will be committed. For example - creation of big amount of new independent objects. I.e. there is no need to wait until each tx is committed into ledger, but it's necessary to submit them to the orderer (for procession, blocks preparation, etc.) and provide response for the client.
 In such case user, who uses async request, should implement another component, which will be able to handle failed transactions. I.e. will listen for tx events from another service, kafka, etc and process failed transactions.

[""Execute"" method|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/chclient.go#L111] calls [cc.InvokeHandler|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/chclient.go#L115], which uses chain of handlers created by ""invoke.NewExecuteHandler()""
 In last one handler ""[NewCommitHandler(next...)|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/invoke/txnhandler.go#L202]"" there is [""Handle"" method|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/invoke/txnhandler.go#L148] which [registers tx event listener|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/invoke/txnhandler.go#L152] before [sending transaction to orderer|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/invoke/txnhandler.go#L159]
 After receiving of the response from orderer, it won't quit method, but will wait until [tx event is received or timeout|https://github.com/hyperledger/fabric-sdk-go/blob/v1.0.0-alpha4/pkg/client/channel/invoke/txnhandler.go#L165]. 
 I.e. the whole ""Execute"" method won't finish until tx is committed. And all next business logic will wait.
 So it's good to have another ""Execute"" method, which will allow to do async request (just get response from orderer) and not wait for commit of transaction.",,MSam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00a9z:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),MSam,,,,,,,,,,,,,,,,,,,"08/Aug/19 11:27 AM;dlwns301;please..where is method?;;;",,,,,,,,,,,
depend-noforce target failed in unit-tests,FABG-821,37386,,Bug,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Invalid: Works as Expected,,vijaypunugubati,vijaypunugubati,02/Feb/19 1:42 AM,19/Mar/19 8:13 PM,28/Oct/23 3:25 AM,05/Mar/19 12:39 AM,,,,,,,,0,ci-failure,,"*Summary:* depend-noforce target failed in unit-tests**

*Consistent:* *Yes*

*Branch: master***

*Platform:* *x86_64*

*Error Snippet:*
{code:java}
/00:01:31.441 Installing dependencies ...
00:01:43.810 Installing github.com/alecthomas/gometalinter@v2 to /w/workspace/fabric-sdk-go-tests-merge-x86_64/gopath/bin ...
00:01:45.225 fatal: ambiguous argument 'v2': unknown revision or path not in the working tree.
00:01:45.225 Use '--' to separate paths from revisions, like this:
00:01:45.225 'git <command> [<revision>...] -- [<file>...]'
00:01:45.226 Makefile:252: recipe for target 'depend-noforce' failed/ code placeholder
{code}
*Build Logs:*

https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-sdk-go-tests-merge-x86_64/974/ 

*Attachments:* ** *< None>*",,aleksandar.likic,troyronda,vijaypunugubati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ab3:",,,,Unset,Unset,,,,,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),aleksandar.likic,troyronda,vijaypunugubati,,,,,,,,,,,,,,,,,"05/Mar/19 12:39 AM;vijaypunugubati;Working as expected.;;;",,,,,,,,,,,
